# time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.000000000000000000e+00,2.281999999999999862e-01,-2.530999999999999917e-01,-1.410500000000000087e+00,1.857299999999999951e+00,-1.277000000000000079e-01,-1.292000000000000093e-01,-3.279000000000000248e-01,-2.285999999999999976e-01,-2.504000000000000115e-01,1.415499999999999980e+00,1.855299999999999949e+00,1.170000000000000068e-01,-1.203999999999999931e-01,3.279000000000000248e-01
1.000000000000000021e-02,2.273999999999999910e-01,-2.526999999999999802e-01,-1.410500000000000087e+00,1.855699999999999905e+00,-1.265999999999999903e-01,-1.295999999999999930e-01,-3.282999999999999807e-01,-2.296999999999999875e-01,-2.504000000000000115e-01,1.415499999999999980e+00,1.854200000000000070e+00,1.150000000000000050e-01,-1.215999999999999998e-01,3.275000000000000133e-01
2.000000000000000042e-02,2.278000000000000025e-01,-2.530999999999999917e-01,-1.410900000000000043e+00,1.855699999999999905e+00,-1.262000000000000066e-01,-1.292000000000000093e-01,-3.279000000000000248e-01,-2.293000000000000038e-01,-2.515999999999999903e-01,1.415499999999999980e+00,1.854200000000000070e+00,1.123999999999999999e-01,-1.212000000000000022e-01,3.275000000000000133e-01
2.999999999999999889e-02,2.281999999999999862e-01,-2.530999999999999917e-01,-1.409299999999999997e+00,1.855699999999999905e+00,-1.238999999999999962e-01,-1.288999999999999868e-01,-3.282999999999999807e-01,-2.288999999999999924e-01,-2.515999999999999903e-01,1.414700000000000069e+00,1.853399999999999936e+00,1.103999999999999981e-01,-1.199999999999999956e-01,3.275000000000000133e-01
4.000000000000000083e-02,2.278000000000000025e-01,-2.530999999999999917e-01,-1.410099999999999909e+00,1.855699999999999905e+00,-1.219999999999999973e-01,-1.288999999999999868e-01,-3.286999999999999922e-01,-2.285999999999999976e-01,-2.523000000000000242e-01,1.415100000000000025e+00,1.852700000000000014e+00,1.092999999999999944e-01,-1.184999999999999942e-01,3.275000000000000133e-01
5.000000000000000278e-02,2.281999999999999862e-01,-2.539000000000000146e-01,-1.410500000000000087e+00,1.855699999999999905e+00,-1.203999999999999931e-01,-1.295999999999999930e-01,-3.279000000000000248e-01,-2.281999999999999862e-01,-2.520000000000000018e-01,1.416199999999999903e+00,1.851900000000000102e+00,1.078000000000000069e-01,-1.165999999999999953e-01,3.279000000000000248e-01
5.999999999999999778e-02,2.278000000000000025e-01,-2.539000000000000146e-01,-1.410099999999999909e+00,1.856100000000000083e+00,-1.193000000000000033e-01,-1.292000000000000093e-01,-3.275000000000000133e-01,-2.285999999999999976e-01,-2.520000000000000018e-01,1.415499999999999980e+00,1.850700000000000012e+00,1.062000000000000027e-01,-1.146999999999999964e-01,3.275000000000000133e-01
7.000000000000000666e-02,2.281999999999999862e-01,-2.535000000000000031e-01,-1.410099999999999909e+00,1.855699999999999905e+00,-1.173000000000000015e-01,-1.288999999999999868e-01,-3.279000000000000248e-01,-2.285999999999999976e-01,-2.530999999999999917e-01,1.414299999999999891e+00,1.849199999999999955e+00,1.043000000000000038e-01,-1.131000000000000061e-01,3.275000000000000133e-01
8.000000000000000167e-02,2.281999999999999862e-01,-2.526999999999999802e-01,-1.410900000000000043e+00,1.855699999999999905e+00,-1.161999999999999977e-01,-1.292000000000000093e-01,-3.279000000000000248e-01,-2.285999999999999976e-01,-2.539000000000000146e-01,1.413899999999999935e+00,1.849599999999999911e+00,1.032000000000000001e-01,-1.101000000000000034e-01,3.275000000000000133e-01
8.999999999999999667e-02,2.288999999999999924e-01,-2.535000000000000031e-01,-1.410500000000000087e+00,1.855699999999999905e+00,-1.135000000000000037e-01,-1.285000000000000031e-01,-3.282999999999999807e-01,-2.285999999999999976e-01,-2.565999999999999948e-01,1.413899999999999935e+00,1.848400000000000043e+00,1.028000000000000025e-01,-1.073999999999999955e-01,3.275000000000000133e-01
