# time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.000000000000000000e+00,-2.275161943967027034e-01,-9.915132949443274946e-01,-5.755077259445849913e-01,1.973745610023370123e+00,-2.104185613586967651e+00,7.087018703945745512e-01,9.732889457089253238e-01,-2.285999999999999976e-01,-2.504000000000000115e-01,1.415499999999999980e+00,1.855299999999999949e+00,1.170000000000000068e-01,-1.203999999999999931e-01,3.279000000000000248e-01
1.000000000000000021e-02,-2.264363348669312381e-01,-9.898981961801133211e-01,-5.774814294426539041e-01,1.971943948092856669e+00,-2.105340736927837408e+00,7.071578505922396785e-01,9.753256460429047259e-01,-2.296999999999999875e-01,-2.504000000000000115e-01,1.415499999999999980e+00,1.854200000000000070e+00,1.150000000000000050e-01,-1.215999999999999998e-01,3.275000000000000133e-01
2.000000000000000042e-02,-2.400520537768666418e-01,-9.972523658477407960e-01,-5.584896096481005712e-01,1.973581384495266544e+00,-2.104909855323711998e+00,7.166490744419153902e-01,9.673200075645560503e-01,-2.293000000000000038e-01,-2.515999999999999903e-01,1.415499999999999980e+00,1.854200000000000070e+00,1.123999999999999999e-01,-1.212000000000000022e-01,3.275000000000000133e-01
2.999999999999999889e-02,-2.162117896621383040e-01,-9.842788078539759233e-01,-5.899683367025863046e-01,1.970773547295013417e+00,-2.104185622939702682e+00,7.006066182513223106e-01,9.838888940954468865e-01,-2.288999999999999924e-01,-2.515999999999999903e-01,1.414700000000000069e+00,1.853399999999999936e+00,1.103999999999999981e-01,-1.199999999999999956e-01,3.275000000000000133e-01
4.000000000000000083e-02,-2.431705487492551720e-01,-9.979013219808579027e-01,-5.539712213004717167e-01,1.973928489645901729e+00,-2.104656510134137459e+00,7.189241109042515676e-01,9.692690939878736422e-01,-2.285999999999999976e-01,-2.523000000000000242e-01,1.415100000000000025e+00,1.852700000000000014e+00,1.092999999999999944e-01,-1.184999999999999942e-01,3.275000000000000133e-01
5.000000000000000278e-02,-2.697871445353520192e-01,-1.010695517769849783e+00,-5.175190733194812154e-01,1.976978981281809489e+00,-2.106125692499227764e+00,7.361329997993412144e-01,9.574638230005583228e-01,-2.281999999999999862e-01,-2.520000000000000018e-01,1.416199999999999903e+00,1.851900000000000102e+00,1.078000000000000069e-01,-1.165999999999999953e-01,3.279000000000000248e-01
5.999999999999999778e-02,-2.736555140579248202e-01,-1.011876612582080615e+00,-5.128591150847462421e-01,1.977734148338942788e+00,-2.105483168561491869e+00,7.384847751582599429e-01,9.569706802545411284e-01,-2.285999999999999976e-01,-2.520000000000000018e-01,1.415499999999999980e+00,1.850700000000000012e+00,1.062000000000000027e-01,-1.146999999999999964e-01,3.275000000000000133e-01
7.000000000000000666e-02,-2.759209340544421796e-01,-1.012588267714187751e+00,-5.090984932358951776e-01,1.977617865919893969e+00,-2.105357064541724110e+00,7.405218129608134303e-01,9.567176836610323809e-01,-2.285999999999999976e-01,-2.530999999999999917e-01,1.414299999999999891e+00,1.849199999999999955e+00,1.043000000000000038e-01,-1.131000000000000061e-01,3.275000000000000133e-01
8.000000000000000167e-02,-2.932748555302621130e-01,-1.019742259257629513e+00,-4.860233790258598474e-01,1.979471204735539835e+00,-2.106299228583921934e+00,7.519353491210795104e-01,9.482983549549355295e-01,-2.285999999999999976e-01,-2.539000000000000146e-01,1.413899999999999935e+00,1.849599999999999911e+00,1.032000000000000001e-01,-1.101000000000000034e-01,3.275000000000000133e-01
8.999999999999999667e-02,-3.032628148372260579e-01,-1.023883537609899363e+00,-4.715499663296874866e-01,1.980527676388513125e+00,-2.105506837744679949e+00,7.584850947013510591e-01,9.449844892875546298e-01,-2.285999999999999976e-01,-2.565999999999999948e-01,1.413899999999999935e+00,1.848400000000000043e+00,1.028000000000000025e-01,-1.073999999999999955e-01,3.275000000000000133e-01
1.000000000000000056e-01,-2.946836159504842012e-01,-1.019789516658621720e+00,-4.831597217906683506e-01,1.979223259505120236e+00,-2.105515106951615589e+00,7.530616582809780413e-01,9.504096367062971895e-01,-2.278000000000000025e-01,-2.591999999999999860e-01,1.411999999999999922e+00,1.846100000000000074e+00,1.028000000000000025e-01,-1.043000000000000038e-01,3.271000000000000019e-01
1.100000000000000006e-01,-3.300723649871859511e-01,-1.033755191488099356e+00,-4.355998009228203016e-01,1.982432001673718913e+00,-2.106336906950159182e+00,7.744761629596749186e-01,9.338535372823095759e-01,-2.278000000000000025e-01,-2.619000000000000217e-01,1.411599999999999966e+00,1.845800000000000107e+00,1.015999999999999959e-01,-9.929999999999999938e-02,3.282999999999999807e-01
1.202000000000000013e-01,-3.423129593794482783e-01,-1.037669879740242163e+00,-4.196964993200956173e-01,1.983492225731221525e+00,-2.104947098659187166e+00,7.818977454352123990e-01,9.284276287073927048e-01,-2.281999999999999862e-01,-2.631000000000000005e-01,1.410500000000000087e+00,1.844999999999999973e+00,9.969999999999999696e-02,-9.470000000000000639e-02,3.286999999999999922e-01
1.300000000000000044e-01,-3.419077834919069248e-01,-1.037040975755774808e+00,-4.195718318813626557e-01,1.982170136871197919e+00,-2.102133079573831331e+00,7.819393499073928888e-01,9.281516568578016546e-01,-2.281999999999999862e-01,-2.665000000000000147e-01,1.410099999999999909e+00,1.844200000000000061e+00,1.005000000000000060e-01,-9.089999999999999469e-02,3.286999999999999922e-01
1.400000000000000133e-01,-3.482730684290969436e-01,-1.039008823604968823e+00,-4.108859025498778350e-01,1.983187637328486241e+00,-2.102849517356939035e+00,7.861154247499280157e-01,9.269039669406745618e-01,-2.281999999999999862e-01,-2.691999999999999948e-01,1.409299999999999997e+00,1.842700000000000005e+00,1.000999999999999945e-01,-8.740000000000000546e-02,3.290000000000000147e-01
1.499999999999999944e-01,-3.507749105386605559e-01,-1.039592114096240083e+00,-4.074464723564790170e-01,1.982125974859561879e+00,-2.101145266428630087e+00,7.873232199750906934e-01,9.247059242894098974e-01,-2.281999999999999862e-01,-2.730000000000000204e-01,1.406700000000000061e+00,1.840799999999999992e+00,9.969999999999999696e-02,-8.169999999999999485e-02,3.294000000000000261e-01
