# time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.000000000000000000e+00,-2.275161943967027034e-01,-9.915132949443274946e-01,-5.755077259445849913e-01,1.973745610023370123e+00,-2.104185613586967651e+00,7.087018703945745512e-01,9.732889457089253238e-01,-2.285999999999999976e-01,-2.504000000000000115e-01,1.415499999999999980e+00,1.855299999999999949e+00,1.170000000000000068e-01,-1.203999999999999931e-01,3.279000000000000248e-01
1.000000000000000021e-02,-2.282306641057104402e-01,-9.907716909924374482e-01,-5.750369892962006180e-01,1.972148934466125825e+00,-2.105364111657376469e+00,7.083476060372959626e-01,9.742597512206951915e-01,-2.296999999999999875e-01,-2.504000000000000115e-01,1.415499999999999980e+00,1.854200000000000070e+00,1.150000000000000050e-01,-1.215999999999999998e-01,3.275000000000000133e-01
2.000000000000000042e-02,-2.278976001959927833e-01,-9.914104212845479269e-01,-5.750608614681400610e-01,1.972152194215158305e+00,-2.104794140966538940e+00,7.086264418924597130e-01,9.744754519199928522e-01,-2.293000000000000038e-01,-2.515999999999999903e-01,1.415499999999999980e+00,1.854200000000000070e+00,1.123999999999999999e-01,-1.212000000000000022e-01,3.275000000000000133e-01
2.999999999999999889e-02,-2.280764070161509505e-01,-9.902000488466818906e-01,-5.737476372736863839e-01,1.972184881880467033e+00,-2.104293904543014460e+00,7.085741760535296807e-01,9.767282792536119418e-01,-2.288999999999999924e-01,-2.515999999999999903e-01,1.414700000000000069e+00,1.853399999999999936e+00,1.103999999999999981e-01,-1.199999999999999956e-01,3.275000000000000133e-01
4.000000000000000083e-02,-2.284339728522601642e-01,-9.908639690500780084e-01,-5.740488110082737627e-01,1.972206328212955162e+00,-2.104505247842822779e+00,7.092171634214842202e-01,9.779099928879799730e-01,-2.285999999999999976e-01,-2.523000000000000242e-01,1.415100000000000025e+00,1.852700000000000014e+00,1.092999999999999944e-01,-1.184999999999999942e-01,3.275000000000000133e-01
5.000000000000000278e-02,-2.285870991508439642e-01,-9.919712168996557278e-01,-5.734218899983786200e-01,1.972310517005819941e+00,-2.105671453415489225e+00,7.095629565621947021e-01,9.809416453013006798e-01,-2.281999999999999862e-01,-2.520000000000000018e-01,1.416199999999999903e+00,1.851900000000000102e+00,1.078000000000000069e-01,-1.165999999999999953e-01,3.279000000000000248e-01
5.999999999999999778e-02,-2.290936684931051959e-01,-9.917398086534287005e-01,-5.732849904933513541e-01,1.972703106827432995e+00,-2.104960855302530298e+00,7.097985554360348726e-01,9.822467761835932398e-01,-2.285999999999999976e-01,-2.520000000000000018e-01,1.415499999999999980e+00,1.850700000000000012e+00,1.062000000000000027e-01,-1.146999999999999964e-01,3.275000000000000133e-01
7.000000000000000666e-02,-2.289186342509901551e-01,-9.914530365228704234e-01,-5.728145100504677956e-01,1.972327949013848558e+00,-2.104764982990481315e+00,7.103089548242446094e-01,9.832895520746888218e-01,-2.285999999999999976e-01,-2.530999999999999917e-01,1.414299999999999891e+00,1.849199999999999955e+00,1.043000000000000038e-01,-1.131000000000000061e-01,3.275000000000000133e-01
8.000000000000000167e-02,-2.289717424200888585e-01,-9.916764854034435528e-01,-5.729961110514232292e-01,1.972369169411698486e+00,-2.105438341800702329e+00,7.110961715638709491e-01,9.840457183963357002e-01,-2.285999999999999976e-01,-2.539000000000000146e-01,1.413899999999999935e+00,1.849599999999999911e+00,1.032000000000000001e-01,-1.101000000000000034e-01,3.275000000000000133e-01
8.999999999999999667e-02,-2.286998169047702312e-01,-9.919725768206376637e-01,-5.722555441581831381e-01,1.972394703492594603e+00,-2.104423615343069986e+00,7.114507571265296093e-01,9.859164347369170356e-01,-2.285999999999999976e-01,-2.565999999999999948e-01,1.413899999999999935e+00,1.848400000000000043e+00,1.028000000000000025e-01,-1.073999999999999955e-01,3.275000000000000133e-01
